"","ES","seIidIF","seCorIF","PI.seCorIF","seCorIF.gamma","PI.seCorIF.gamma","ar1","IF.ar1"
"CA",-0.049,0.018,0.032,82,0.027,50,0.6,0.51
"CTAG",-0.045,0.004,0.004,3,0.004,3,0,0
"DIS",-0.043,0.013,0.018,43,0.018,45,0.53,0.36
"EM",-0.089,0.024,0.028,15,0.029,21,0.34,0.12
"EMN",-0.019,0.008,0.008,6,0.012,64,0.28,0
"ED",-0.044,0.011,0.015,28,0.014,27,0.41,0.23
"FIA",-0.042,0.016,0.025,60,0.024,55,0.5,0.46
"GM",-0.023,0.003,0.003,-2,0.004,17,0,0
"L/S",-0.044,0.009,0.012,35,0.012,38,0.29,0.33
"MA",-0.025,0.006,0.007,10,0.007,9,0.32,0
"RV",-0.031,0.01,0.014,52,0.015,62,0.48,0.49
"SS",-0.111,0.013,0.015,13,0.018,43,0.15,0.12
"FoF",-0.039,0.009,0.012,32,0.012,36,0.35,0.3
